"Title","Average_2014","Male_2014","Female_2014","Gap_2014","Average_2015","Male_2015","Female_2015","Gap_2015","Average_2016","Male_2016","Female_2016","Gap_2016","Average_2017","Male_2017","Female_2017","Gap_2017","Average_2018","Male_2018","Female_2018","Gap_2018","Average_2019","Male_2019","Female_2019","Gap_2019","Average_2020","Male_2020","Female_2020","Gap_2020"
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140027.268097968,140734.093741792,139726.954196188,"0.4%",145623.095238095,145654.061258882,145609.952381974,"0.0%"
"ACCOUNTANT",61658.8109223806,62948.0269174362,60235.6981439952,"2.2%",63859.7796744837,64409.9268705834,63167.2859219245,"1.0%",64326.704027294,65878.2646599985,62705.9784417718,"2.5%",64816.1511288223,66934.867772848,62811.1638585009,"3.2%",62582.3320388464,64155.2682210256,61131.650530564,"2.4%",64961.8845619007,66318.6399745863,63805.1238815962,"1.9%",67980.1174089069,69286.9229710754,66875.7437218372,"1.8%"
"ADM MANAGER-NON-MGRL",NA,NA,NA,NA,73900.6450738072,75062.5748388094,73502.6347970075,"1.1%",76790.4396952207,80966.1521406038,75623.9511319121,"3.4%",78079.5156354247,79734.2006676742,77664.9689072133,"1.3%",NA,NA,NA,NA,NA,NA,NA,NA,82769.7550831793,86140.5634398358,81912.3820350688,"2.5%"
"ADM MANAGER-NON-MGRL FROM M1/M2",70751.165843376,70932.8005786262,70682.5717090833,"0.2%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77143.6687653833,79332.0976902392,76597.5288248513,"1.8%",77413.8952402761,80207.5679333481,76708.3654162227,"2.2%",NA,NA,NA,NA
"ADMIN COMMUNITY RELATIONS SPECIALIST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96275.4738261906,96214.0027618119,96319.9099139457,"-0.1%",86016.5782779202,89578.0034597344,84069.9905251493,"3.2%",85665.7560893717,88749.6919724232,84001.0701356886,"2.7%",86434.5753012048,89492.139857559,84655.8532397599,"2.8%"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES",97365.8470113446,97092.1997260619,97472.9114695967,"-0.2%",103111.61004335,105357.254484647,102121.343442671,"1.6%",105285.397289644,106647.088878947,104691.789737428,"0.9%",105125.123776892,106396.005430616,104589.193774092,"0.9%",103513.483251571,104978.579952291,102951.291125925,"1.0%",107625.231028927,110455.033052281,106569.626476384,"1.8%",110993.766393443,114783.020344525,109615.936771383,"2.3%"
"ADMINISTRATIVE EDUCATION ANALYST",107502.690858319,108797.843814093,106760.094457533,"0.9%",113246.106659836,113671.442471346,113005.963031299,"0.3%",112646.322073736,112470.747198266,112757.22544158,"-0.1%",110059.520834026,111130.479844117,109432.98341913,"0.8%",108242.95282071,110125.096021989,107170.515159017,"1.4%",109730.186268713,111770.010381514,108483.650739322,"1.5%",113293.770348837,116555.614814556,111383.042857863,"2.3%"
"ADMINISTRATIVE EDUCATION OFFICER",111041.840338036,115553.515722146,108698.262366876,"3.1%",109617.602840736,112705.613785793,108032.218583811,"2.1%",106771.954386819,108852.14411937,105698.848468518,"1.5%",105191.556939728,107072.638240493,104227.652113757,"1.3%",103491.924382783,104367.592169041,103033.153882719,"0.6%",105344.620905276,107169.288103289,104384.825947465,"1.3%",108829.40546697,108915.210527733,108783.663140789,"0.1%"
"ADMINISTRATIVE ENGINEER",127942.537438149,128882.77724988,120581.406731912,"3.3%",133863.006927281,134669.177059082,127861.852095379,"2.6%",136381.475002967,137237.10709478,131025.346542616,"2.3%",138816.699377028,139371.612018825,135417.939610301,"1.4%",131683.078417797,132433.068425926,127545.303158399,"1.9%",135178.605263875,136174.336012095,130153.917892676,"2.3%",139195.112328767,140229.735851047,133811.16586244,"2.3%"
"ADMINISTRATIVE PROCUREMENT ANALYST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90672.3104345962,94420.7719556484,88336.4252958365,"3.3%",NA,NA,NA,NA
"ADMINISTRATIVE PROCUREMENT ANALYST-NON-MGRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87766.3457943925,93127.4231597493,85223.3037253797,"4.4%"
"ADMINISTRATIVE PROJECT MANAGER",114887.883069373,113786.267490962,118389.104259132,"-2.0%",121049.597892151,118445.137251919,129055.069524106,"-4.3%",123611.914482127,121276.351017812,130537.518971286,"-3.7%",122521.8807332,121955.189924762,124135.593925809,"-0.9%",118235.446206813,118029.921088367,118782.854798117,"-0.3%",119471.077505756,120190.77380985,117556.486635316,"1.1%",118795.81042654,119970.2883675,115760.27827911,"1.8%"
"ADMINISTRATIVE STAFF ANALYST",101225.803707525,104283.637688732,98858.0119185876,"2.7%",101906.433076304,104733.284108539,99789.8400549995,"2.4%",106584.659556274,108959.637896801,104801.613558463,"1.9%",109163.789864742,110339.865336705,108204.157415959,"1.0%",107589.743260573,108480.948703824,106853.5764054,"0.8%",109939.051168,110786.362113495,109252.216446291,"0.7%",111935.074610131,112813.639091831,111249.004544059,"0.7%"
"AGENCY ATTORNEY",82881.7814644014,83104.8752245318,82744.6560817069,"0.2%",87122.2632392061,87742.1677787275,86729.5993509629,"0.6%",87687.9024384061,87784.9498838141,87624.0131631984,"0.1%",89012.3149619799,89212.8794384683,88877.9956464771,"0.2%",86752.8022127919,86823.3457356607,86705.3727253873,"0.1%",89460.9875237698,89485.8050835209,89444.1225658378,"0.0%",92122.9175098425,92028.7841990797,92190.1270745047,"-0.1%"
"ANNUAL ED PARA",33007.5727419119,32167.4011265508,33200.3039850092,"-1.6%",34507.975613719,33646.3395133616,34708.083479191,"-1.6%",35132.4596836231,34292.0923425589,35330.0146041843,"-1.5%",36112.8509995208,35178.5491390268,36333.3868754435,"-1.6%",37020.285684675,36068.676159187,37243.0338307021,"-1.6%",38208.2453473936,37229.8775438913,38434.7988658244,"-1.6%",38921.1901491366,38030.8597482208,39127.1670634371,"-1.4%"
"ASSISTANT CIVIL ENGINEER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69156.7361377787,69146.9016613525,69176.5935199448,"0.0%",67721.0566588901,67529.4997743159,68155.7444460059,"-0.5%",69836.6041563888,69534.1216578122,70513.0990256564,"-0.7%",72452.1404255319,72331.3912392474,72733.8140152903,"-0.3%"
"ASSISTANT CORPORATION COUNSEL",101362.7621831,99953.4395352022,102513.908270541,"-1.3%",106831.25153906,105648.055822633,107775.905153466,"-1.0%",107582.829186253,106032.573914141,108839.009052326,"-1.3%",107986.642140397,106296.10032036,109336.694425761,"-1.4%",105453.084259083,103864.465246939,106718.766516574,"-1.4%",110134.741393601,108722.690376072,111206.95056228,"-1.1%",113869.349823322,113607.175367299,114071.4771825,"-0.2%"
"ASSISTANT DISTRICT ATTORNEY",95538.8619548628,99102.4686458761,92489.6581046692,"3.5%",101720.101338187,104845.61896124,99063.598253635,"2.8%",101697.573625739,103511.305868512,100111.700724875,"1.7%",101641.576154622,102368.729095184,100965.765384851,"0.7%",98036.2117866597,98406.1571148286,97689.3323588387,"0.4%",103296.012531952,103592.118813176,103024.841785439,"0.3%",105258.305027933,105672.930411891,104895.994920779,"0.4%"
"ASSISTANT PRINCIPAL",116815.996990173,118032.58279469,116195.233987709,"0.8%",118545.595980371,119840.158476027,117868.246653927,"0.8%",120192.266726621,121658.563400654,119436.590081346,"0.9%",122745.772630104,124658.836621986,121784.128336456,"1.2%",125033.488521945,126938.014527011,124112.20058855,"1.1%",131052.918743078,133013.918670896,130102.429988544,"1.1%",134115.653130288,135652.229209967,133381.644277802,"0.8%"
"ASSISTANT PROFESSOR",75504.7632586897,75050.1861833248,75793.562639767,"-0.5%",76285.8601311946,75636.067819138,76717.7619351071,"-0.7%",75595.0016569924,74816.6231739593,76169.9934841223,"-0.9%",82787.8274968002,81386.2552485246,83933.4257603675,"-1.5%",80973.3442951469,80076.6831152844,81719.1195082109,"-1.0%",80195.0922761143,79856.1211296255,80477.3677545084,"-0.4%",83883.1940850277,83385.6533112064,84303.9386246948,"-0.5%"
"ASSISTANT RESIDENT BUILDING SUPT",65804.130242096,66028.0672637392,65092.8653362065,"0.7%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSISTANT TO HEO",53685.5929726722,53039.207716111,53941.4748703237,"-0.8%",52991.8715678546,51070.6577740397,53779.0240595614,"-2.6%",52065.4696323402,50655.4563661336,52622.9221737208,"-1.9%",56919.1153789389,55831.4166175027,57334.4053649621,"-1.3%",55862.029691698,55890.8264836488,55851.9381016229,"0.0%",56034.9334667672,56569.4838947422,55859.5487919701,"0.6%",57607.4193548387,58713.0937283799,57271.3155981896,"1.2%"
"ASSOCIATE FRAUD INVESTIGATOR",65698.0198133134,65823.5206076833,65607.1621804049,"0.2%",68622.0466537424,68944.0877218222,68376.5440382874,"0.4%",69799.9004330673,69904.8196707729,69721.7117822611,"0.1%",70879.901548659,71004.257513091,70781.876484092,"0.2%",68922.0941447709,68828.2027806256,69000.9516061245,"-0.1%",70746.0264043302,70713.8374967888,70773.0224173243,"0.0%",72390.82,72256.865394241,72509.5780520892,"-0.2%"
"ASSOCIATE INSPECTOR",72058.2178567169,72111.7817381863,71384.5254644784,"0.5%",76452.5814116681,76546.5765663484,75269.0131059255,"0.8%",78009.4534163314,78140.7947479452,76348.5060044581,"1.2%",76829.7863009939,76958.0348735115,75075.7259847354,"1.2%",74530.7313683769,74678.0647447467,72676.1844347864,"1.4%",77070.8091848524,77363.7123693344,73294.6865438334,"2.7%",NA,NA,NA,NA
"ASSOCIATE JOB OPPORTUNITY SPECIALIST",58738.1658090183,59246.7793763397,58582.0199903437,"0.6%",61345.3598147412,61698.3842235701,61246.2319996792,"0.4%",62417.3695945288,62753.4895080107,62326.3545323327,"0.3%",63475.0799182137,64204.6927316963,63288.6847244235,"0.7%",61632.9237632242,62333.6057067481,61444.2145172533,"0.7%",63313.1232369095,63640.1775212994,63223.5436418314,"0.3%",64747.6473594549,64978.7667828917,64688.4719655426,"0.2%"
"ASSOCIATE PARK SERVICE WORKER",48034.0976384173,48142.9856231784,47156.803033435,"1.0%",49409.145529777,49443.1547926717,49171.0580712195,"0.3%",50386.4903467535,50458.0930168191,49875.8248958739,"0.6%",51211.5928850665,51194.229094221,51336.4089682085,"-0.1%",50002.1400342022,50056.8050518723,49643.7774139669,"0.4%",51354.9276306372,51432.2403680668,50932.5393214501,"0.5%",52161.1627906977,52223.3983442957,51848.1409551913,"0.4%"
"ASSOCIATE PROFESSOR",92336.0277364238,92621.7888943581,92051.121198358,"0.3%",92858.9090867766,93702.8865550417,92059.0934353738,"0.9%",91763.5475516038,92556.881209679,91073.8852139475,"0.8%",100062.501966032,100718.285353043,99519.7442089535,"0.6%",96673.4489609563,97208.024480024,96265.8081894871,"0.5%",95264.6932395855,96053.7497435425,94705.6893544412,"0.7%",98523.2470588235,99124.6546542179,98103.7223015331,"0.5%"
"ASSOCIATE PROJECT MANAGER",81180.8398631308,81193.880770904,81128.3752472428,"0.0%",84929.8075676676,85152.9455538173,84168.6324375999,"0.6%",86575.3568805145,86799.158850066,85713.2330832195,"0.6%",87520.9981487351,87589.2614262379,87229.1935624762,"0.2%",85894.1363520931,86005.3669016603,85415.3863765147,"0.3%",89021.589633734,89262.3805938558,87954.6262350403,"0.7%",90591.8349514563,90689.8420941031,90176.2664453003,"0.3%"
"ASSOCIATE RETIREMENT BENEFITS EXAMINER",NA,NA,NA,NA,59354.9427998149,59702.5610571072,59099.1317440917,"0.5%",60984.9608962883,60770.398055393,61143.4706168332,"-0.3%",61923.0257925141,62796.1664511761,61323.0131343789,"1.2%",60735.8007922176,61235.9264910622,60403.8672405574,"0.7%",62833.7234649046,63496.8100808516,62388.0305342512,"0.9%",NA,NA,NA,NA
"ASSOCIATE STAFF ANALYST",78615.6341849525,78777.6237660855,78474.728583233,"0.2%",78999.1990428572,79288.3030494221,78749.5492281527,"0.3%",84243.8505197852,84517.4984936939,84023.0157112278,"0.3%",85664.4384517245,85178.1217915622,86017.7348005372,"-0.5%",83225.4899347764,82758.7153428189,83596.475544415,"-0.5%",81667.1744756882,81634.5866061889,81691.6197391078,"0.0%",81537.7758007117,81594.9325288923,81493.4283237385,"0.1%"
"ASSOCIATE TRAFFIC ENFORCEMENT AGENT",49198.8671777166,49056.1850546272,49301.2035174445,"-0.2%",49248.2971961726,49173.3024116271,49306.9021983306,"-0.1%",52451.9320602444,52417.4068300909,52479.3292554391,"-0.1%",51967.4345492789,52148.4556201156,51819.3644829728,"0.3%",50385.1170938262,50608.7849436175,50207.4137150904,"0.4%",49972.3845728431,50185.9723628105,49805.1017615055,"0.4%",53240.4637681159,53285.7848864441,53205.339175377,"0.1%"
"BATTALION CHIEF",150232.043959064,150212.590199494,153668.148403883,"-1.1%",158439.234699048,158422.407703528,161248.546797811,"-0.9%",157355.739318519,157336.116175261,161005.087521799,"-1.2%",159487.150797473,159470.357552847,162625.826622546,"-1.0%",159881.823645078,159876.70134095,160770.560794436,"-0.3%",156059.550160183,156054.446609176,156931.934947686,"-0.3%",154313.459610028,154396.17344901,145293.971042554,"3.0%"
"BOOKKEEPER",46401.149552139,46377.4471438698,46411.9844992846,"0.0%",48767.9142280795,48481.5749369657,48897.9887576768,"-0.4%",49907.5540382454,49266.5555200567,50197.1969283082,"-0.9%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUDGET ANALYST",83251.9495681424,86343.2601753216,80309.9173965025,"3.6%",87869.2256838452,89847.2821623458,85919.0662272071,"2.2%",88795.107046883,89800.0743760963,87749.9858643998,"1.2%",90506.6117004947,91668.2424521424,89261.1473219849,"1.3%",88380.6495434645,89376.189546889,87185.9855543329,"1.2%",91488.459464959,92598.9584640224,90127.3959969283,"1.4%",93614.7463556851,95567.9968620836,91220.9156490731,"2.3%"
"CALL CENTER REPRESENTATIVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37584.3270690051,37865.2147701484,37474.9596948321,"0.5%",38461.2283105023,38852.9203002638,38301.1286920248,"0.7%"
"CAPTAIN",114916.891291258,119692.587656099,99333.9690205769,"9.3%",118889.996069827,123936.417702767,103077.784911411,"9.2%",118584.283448307,124124.493397931,102141.84561705,"9.7%",117765.312951899,123620.764234892,101328.296201522,"9.9%",117292.756683732,123908.196518666,99952.0281668603,"10.7%",116858.584959468,122344.070269453,102223.111764865,"9.0%",118613.277496839,123723.977351486,103727.075986738,"8.8%"
"CARETAKER",39283.6395809013,39263.5703822198,39314.0853938013,"-0.1%",41133.7010365505,40954.3592632171,41411.956151072,"-0.6%",42279.073126683,42255.9876241996,42314.3310208989,"-0.1%",42214.5849529827,42728.247392959,41519.1421411432,"1.4%",40586.9652259717,41006.4714975642,40019.1608903716,"1.2%",40428.3132924563,40761.3741438636,39984.9729315268,"1.0%",40550.9634574842,40686.807672077,40370.7329569458,"0.4%"
"CASEWORKER",43921.552886922,44049.0886927655,43861.4445541135,"0.2%",45661.3082711794,45820.9865383906,45590.305550921,"0.3%",46163.9664365476,46383.9703860912,46071.0330374611,"0.3%",46683.5026476374,46874.6679105541,46606.5855015322,"0.3%",45315.2258350481,45408.3289184915,45278.6192538465,"0.1%",46592.3205693885,46613.4184745545,46584.4193992865,"0.0%",47768.6038277512,47815.4731947077,47751.5262006043,"0.1%"
"CERTIFIED IT ADMINISTRATOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109573.453401836,109800.317341469,108060.35887438,"0.8%",105469.274442629,105571.057390775,104766.647963164,"0.4%",108849.46530512,109130.383350468,107049.685104407,"1.0%",112229.32748538,112468.025985408,110524.305499114,"0.9%"
"CHILD PROTECTIVE SPECIALIST",53589.5056536268,53861.6442018643,53536.8388921753,"0.3%",55506.4326056263,55574.6085811174,55493.2271271811,"0.1%",56266.2555754549,56155.146138031,56287.508676962,"-0.1%",56245.4483262462,56113.0009964989,56271.4178528492,"-0.1%",54280.5122192359,54147.3635641911,54307.4174026866,"-0.1%",55931.5305059886,55868.0816922314,55945.1577075793,"-0.1%",58918.6015348288,58803.4842487184,58944.0075855914,"-0.1%"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR",75951.4224440144,75477.6830409577,76091.6387914494,"-0.4%",79581.6078738839,78654.5706376855,79850.1736656574,"-0.8%",80982.6892587824,80011.1412056277,81259.9562680889,"-0.8%",81125.8890759648,81049.44184971,81146.2178910978,"-0.1%",79298.0317472571,80152.4193844887,79084.6257213187,"0.7%",80337.6667603825,81036.247216907,80169.9780090783,"0.5%",82485.2092511013,83528.50426807,82246.7822522738,"0.8%"
"CITY CUSTODIAL ASSISTANT",33349.2330915394,33392.2703415385,33296.5934210965,"0.1%",34605.5263920109,34681.7312448521,34514.0694135326,"0.2%",NA,NA,NA,NA,35504.6771203507,35614.7570895087,35376.7143090852,"0.3%",34996.0612459784,35083.8108366566,34897.7164083106,"0.3%",36302.4007963172,36309.4059283045,36294.6532487743,"0.0%",36882.1656891496,36904.4793473718,36858.2201917916,"0.1%"
"CITY OF NEW YORK (ALL AGENCIES / TITLES)",71694.7534179955,75601.4935050479,68459.0444702193,"5.0%",73944.3561841732,77278.5219994651,71223.2796032083,"4.1%",74970.1398266104,77963.3153086823,72530.4474948154,"3.6%",76490.9715373856,79309.3187364749,74195.5501427772,"3.3%",76708.4884972736,78943.7659644138,74902.3428408708,"2.6%",77494.2153213892,79341.0962370189,76010.0790770575,"2.1%",78977.4600948257,80415.8004726954,77838.0877543128,"1.6%"
"CITY PARK WORKER",37743.8355248538,37534.1320741454,38496.602283295,"-1.3%",39729.3317252294,39517.8613505401,40412.8361726194,"-1.1%",41407.381815891,40947.9603107177,42953.1275151136,"-2.4%",42783.3266324167,42562.6224476477,43509.1209206622,"-1.1%",41093.7029151511,40571.6539464366,42644.076668444,"-2.5%",42517.8286177816,42324.190643823,42994.0091312953,"-0.8%",41487.5773913043,41469.4996400857,41529.3037578015,"-0.1%"
"CITY PLANNER",74095.1069522498,75051.9389276591,72857.0077517362,"1.5%",77126.2343278568,78212.7548000251,75755.4788323776,"1.6%",77187.5174627723,77880.6470460386,76429.2863352621,"0.9%",82059.6373154845,83267.0820936927,80647.7342363748,"1.6%",NA,NA,NA,NA,82256.3751218932,83283.0525602816,80939.4401905054,"1.4%",NA,NA,NA,NA
"CITY RESEARCH SCIENTIST",85792.6515750406,87414.9229495445,84991.8348040252,"1.4%",87948.940276936,88145.7402359424,87856.4940248966,"0.2%",87895.3815287713,88429.286217614,87628.617908034,"0.5%",88496.7628538065,89630.0752635473,87943.262065,"0.9%",86392.4851242721,86944.5700591201,86120.2246708761,"0.5%",90093.8640077266,90705.1087767053,89804.3032292484,"0.5%",92866.8130915577,93701.5173623457,92479.032455384,"0.7%"
"CITY TAX AUDITOR",60803.999809191,61565.670523729,59711.6369328473,"1.5%",65173.1477669498,66271.602384959,63718.1862711612,"2.0%",67092.2323748156,67558.6956331527,66467.4628647746,"0.8%",66850.3146079672,66929.5644707673,66750.8168261647,"0.1%",65506.3875131382,65425.7206738716,65600.6903686814,"-0.1%",66816.8720340099,66802.2272804381,66833.4025405913,"0.0%",66805.6545454545,66853.8435007467,66750.4305484455,"0.1%"
