"Title","Average_2014","Male_2014","Female_2014","Gap_2014","Average_2015","Male_2015","Female_2015","Gap_2015","Average_2016","Male_2016","Female_2016","Gap_2016","Average_2017","Male_2017","Female_2017","Gap_2017","Average_2018","Male_2018","Female_2018","Gap_2018","Average_2019","Male_2019","Female_2019","Gap_2019","Average_2020","Male_2020","Female_2020","Gap_2020"
"PHYSICAL THERAPIST",NA,NA,NA,NA,71182.9242706575,71430.5537215628,71074.0122396103,"0.3%",73129.8674575837,73288.4060605435,73061.0502625005,"0.2%",75203.3291901285,75385.1113942437,75129.8009079206,"0.2%",76836.5117880293,76984.1311719897,76779.5028440136,"0.1%",77123.1068741684,77186.4617923624,77098.8356943227,"0.1%",78429.1356238698,78571.522268746,78376.9980104723,"0.1%"
"POLICE ADMINISTRATIVE AIDE",37759.2474194078,37361.1561067388,37791.7539716963,"-0.6%",39303.393651615,39327.7929582511,39301.4775042007,"0.0%",39802.8147863886,39441.2977654158,39833.8099432081,"-0.5%",40599.2767690908,39793.2401696314,40674.0258772386,"-1.1%",40187.4709947041,39741.4575927877,40225.4855436676,"-0.6%",42005.7575729616,41705.8685627845,42031.0424357625,"-0.4%",42775.8876811594,41040.0710524906,42954.8982443773,"-2.3%"
"POLICE COMMUNICATIONS TECHNICIAN",45330.7859228257,44697.7021587576,45446.3062059408,"-0.8%",47108.0164502609,46005.7256568762,47322.8381818112,"-1.4%",48780.0741552715,48520.91073357,48826.9610085778,"-0.3%",47797.1322429184,47484.7525587236,47855.0679931139,"-0.4%",46490.9899575993,45677.4890884433,46651.1887843328,"-1.1%",47175.7646936327,46582.0334917855,47284.6162542653,"-0.7%",48021.5423728814,47788.922859899,48067.305216758,"-0.3%"
"POLICE OFFICER",71854.8563843422,71511.007238404,73379.2864935092,"-1.3%",70734.9616951148,70397.3713841739,72215.1072321471,"-1.3%",69788.6142991857,69597.1943954667,70603.936277803,"-0.7%",74621.8187167698,74612.5858865949,74660.2126736386,"0.0%",72606.7866546076,72727.9173666139,72114.6156149676,"0.4%",71810.0617117741,72045.2630142675,70877.1020592172,"0.8%",71261.7775579843,71612.3438866036,69898.5426026527,"1.2%"
"POLICE OFFICER D/A DETECTIVE 1ST GR",122056.598151169,122056.598151169,122056.598151169,"0.0%",125529.505926609,125529.505926608,125529.505926608,"0.0%",125468.519217326,125468.150009369,125471.898724609,"0.0%",125249.341786149,125249.341786149,125249.341786149,"0.0%",124804.743486639,124804.743486639,124804.743486639,"0.0%",126421.604505838,126421.604505838,126421.604505838,"0.0%",125531,125531,125531,"0.0%"
"POLICE OFFICER D/A DETECTIVE 2ND GR",106333.031551526,106333.031551526,106333.031551526,"0.0%",109358.998119138,109358.998119138,109358.998119138,"0.0%",109308.238207076,109308.238207076,109308.238207076,"0.0%",109114.674849189,109114.674849189,109114.674849189,"0.0%",108727.332428257,108727.332428257,108727.332428257,"0.0%",110135.87614819,110135.87614819,110135.87614819,"0.0%",109360,109360,109360,"0.0%"
"PRINCIPAL",149041.258327808,150407.74038084,148344.91015589,"0.7%",151727.896080735,153266.868908521,150906.329101901,"0.8%",153722.051177842,155097.673732737,152999.253780122,"0.7%",157416.994884043,158697.197472975,156714.324473381,"0.6%",160356.484632933,161819.23906817,159530.783363937,"0.7%",167418.155018881,169211.200474296,166441.691343225,"0.8%",174088.822810591,175768.576010356,173181.427509496,"0.7%"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE",NA,NA,NA,NA,59413.4955234514,58951.9705497966,59507.0659597268,"-0.5%",60620.1702821517,60216.3621409803,60704.2784725734,"-0.4%",61249.0156784551,60940.6616691466,61314.7181825155,"-0.3%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61382.0203943315,61136.5946520368,61438.5821395776,"-0.2%"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE - LEV 1 & 2 NON SUPVR",56583.726439509,56139.3657453297,56674.5824056355,"-0.5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59618.4451183273,58695.9537857946,59822.0980326894,"-1.0%",58858.8528101767,58409.8402283313,58960.9007272541,"-0.5%",NA,NA,NA,NA
"PROBATION OFFICER",58260.6464916663,58744.5538231343,58023.3770317034,"0.6%",62227.3598130285,63203.6584217144,61763.2493235796,"1.2%",63202.3993580692,64208.2502808009,62714.44139376,"1.2%",59947.2888114172,60511.1588419053,59673.9000583755,"0.7%",56602.7917196752,56078.2506424137,56866.4332870493,"-0.7%",58536.0892769854,58017.4278310754,58775.8783269237,"-0.6%",58208.0491803279,58088.0851133475,58261.7591531599,"-0.1%"
"PROCUREMENT ANALYST",60339.4635260408,60891.8410970218,60095.6082622116,"0.7%",62603.4797961686,64196.861563817,61901.1672703935,"1.8%",63594.0660548909,64499.8755327577,63167.7442932756,"1.0%",64453.9159979029,65971.2729567604,63727.5313389423,"1.7%",65458.2962292677,67020.5676340895,64740.0166788916,"1.7%",66069.8148107054,69057.5889526112,64739.9935411364,"3.2%",67364.1503067485,71772.5398656015,65717.0647438662,"4.4%"
"PROFESSOR",112982.643735026,113175.331574102,112751.023167561,"0.2%",112132.023047609,113046.265599569,111074.472865552,"0.9%",112362.021300721,112952.550744431,111690.624357692,"0.6%",122987.275358116,123621.745473641,122246.143700714,"0.6%",118047.217636655,118548.00782528,117467.642628827,"0.5%",116766.585187959,117143.075384465,116342.847878562,"0.3%",120869.154734411,121602.445616281,120056.257304998,"0.6%"
"PUBLIC HEALTH ADVISER",47645.4939559065,47486.2853370625,47709.2515481675,"-0.2%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PUBLIC HEALTH SANITARIAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55137.0565497547,56015.2699977604,54243.3333824686,"1.6%",56999.3838499139,57349.1275903879,56653.2075905887,"0.6%",58589.6837209302,58447.4218658943,58744.0944027794,"-0.3%"
"SANITATION WORKER",68082.7497948062,68102.106649366,67522.914790492,"0.4%",69152.8382329025,69235.6586028978,66878.4950279666,"1.7%",68681.8117747587,68800.3125361427,65541.4924709418,"2.4%",69652.656411602,69800.5397192183,65893.3182722161,"2.9%",70279.830032198,70455.2388165598,65920.656912339,"3.3%",68183.585394638,68434.9980159619,62522.6553279125,"4.5%",68659.5342847769,68894.7127681264,63536.8447676634,"4.0%"
"SCHOOL FOOD SERVICE MANAGER",52653.0732855237,52610.2085482904,52664.4491277097,"-0.1%",55752.3652546181,55851.5277213694,55727.5316899044,"0.1%",55113.3985543088,55012.1059162293,55139.1101651316,"-0.1%",53465.7972663536,52013.3458019478,53865.2588731961,"-1.7%",53170.7152013008,52649.1937141836,53299.1485885379,"-0.6%",52517.4803739148,52550.2937718668,52509.3863405293,"0.0%",56785.472972973,55927.9352431217,57038.6496819275,"-1.0%"
"SCHOOL PSYCHOLGIST",90888.8141414079,94306.0082846658,89978.8787120156,"2.3%",95028.9883292171,99772.5076883155,93868.1570413119,"3.0%",96172.8369779425,100161.183065902,95219.0789742736,"2.5%",99200.4886731129,101941.538162945,98565.2831307383,"1.7%",101600.374061815,104606.394884958,100925.775744704,"1.8%",102202.717517931,104162.809344017,101778.151523285,"1.2%",102873.203931204,105819.556794503,102257.356995528,"1.7%"
"SCHOOL SAFETY AGENT",37919.725728891,37816.4664767267,37970.1103758947,"-0.2%",40530.4718544447,40398.035617887,40595.3273924573,"-0.2%",41898.8099964459,41776.5421005554,41958.1304468366,"-0.2%",42631.6216550435,42414.1246082712,42734.3338768267,"-0.4%",44560.0626545296,44184.812336404,44736.9559856436,"-0.6%",43153.1922864,42732.4990333013,43351.5230685251,"-0.7%",45897.2076980755,45309.8828229092,46180.6940461895,"-1.0%"
"SCHOOL SECRETARY",58136.2506784273,57247.3824783263,58147.5017255992,"-0.8%",60696.4514497342,58656.6425145768,60724.2888017135,"-1.7%",61609.2470858541,57538.1855202199,61676.964252103,"-3.5%",63075.2494936336,59655.2460076064,63135.8406100368,"-2.8%",64145.104961796,59880.5968457837,64231.9929242209,"-3.5%",64324.9516589274,59922.0110904887,64423.5205035429,"-3.6%",65159.889837083,61001.560940542,65258.8328857998,"-3.4%"
"SCHOOL SOCIAL WORKER",93490.9683617595,95041.0126209866,93106.4536552772,"1.0%",96585.8154026818,98254.4044455346,96198.5245006993,"1.1%",97517.5036313232,98049.2063444467,97400.6238085909,"0.3%",99343.9960029619,100181.953618094,99156.4433027431,"0.5%",101641.574308296,102457.609331341,101457.905967635,"0.5%",102463.406810161,103179.221011296,102307.182092248,"0.4%",101395.655021834,101948.210447059,101281.105313643,"0.3%"
"SECRETARY",42093.5185542765,41395.0135683098,42123.8647741558,"-0.9%",44180.4706909489,43404.047701403,44214.8935399501,"-0.9%",44972.4294654677,44247.4942244016,45007.091929003,"-0.9%",45907.9822216851,44718.6852958223,45964.8363613588,"-1.4%",44684.7522134044,43389.8000628725,44752.0794231995,"-1.5%",45755.3513876444,43949.5774955163,45859.5076354965,"-2.1%",47040.3669565217,44514.3587746182,47187.6485599354,"-2.9%"
"SENIOR OCCUPATIONAL THERAPIST",66948.3051494044,67137.4731987775,66919.4372791033,"0.2%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SENIOR PHYSICAL THERAPIST",67101.9744659604,67191.4614145493,67059.4936063471,"0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SENIOR POLICE ADMINISTRATIVE AIDE",46285.3776339854,46367.7770588942,46280.4519608278,"0.1%",48370.7107141331,48421.3984677096,48367.9561575502,"0.1%",49094.4513884768,49115.7559243906,49093.3182689286,"0.0%",50897.576192072,50761.6200383549,50904.7093364359,"-0.1%",50224.923868384,49534.0134979991,50262.9611663297,"-0.7%",52155.2430466936,51623.5986003976,52187.6113103697,"-0.5%",53946.5900900901,53003.1681273887,54000.9310762891,"-0.9%"
"SERGEANT",98508.1710790041,98351.8436736137,99268.4026263214,"-0.5%",102781.366790719,102614.212753344,103589.985896964,"-0.5%",103934.486023241,103767.008315333,104783.327278664,"-0.5%",104940.344562927,104862.566465994,105335.461740427,"-0.2%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SERGEANT D/A SPECIAL ASSIGNMENT",NA,NA,NA,NA,NA,NA,NA,NA,121531.693372911,122390.325371196,117908.940820392,"1.9%",123077.299544694,123714.294139912,120524.692220489,"1.3%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SERGEANT D/A SUPERVISOR DETECTIVE SQUAD",116843.254544877,117025.410948986,114874.134014427,"0.9%",NA,NA,NA,NA,121674.98536926,122043.58901475,118709.429203965,"1.4%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SERGEANT-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106108.100242125,106094.947048929,106174.528317701,"0.0%",104076.997312972,104041.183878084,104258.41069949,"-0.1%",102723.003703704,102761.167056683,102527.141120006,"0.1%"
"SERGEANT-D/A SPECIAL ASSIGNMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123123.046789463,123682.36238924,120944.569180882,"1.1%",122357.941289368,122590.552847246,121469.124140413,"0.5%",120870.733067729,120777.422241548,121273.195573125,"-0.2%"
"SERGEANT-D/A SUPERVISOR DETECTIVE SQUAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123906.86616078,124064.777424887,122795.779279737,"0.5%",122991.317698143,122870.940435398,123852.344990417,"-0.4%",121614.866873065,121718.580478633,120926.753577563,"0.3%"
"SERGEANTD/A SPECIAL ASSIGNMENT",116072.372265705,116541.448898962,113570.124707535,"1.3%",121538.032903466,121885.438352326,119685.568421962,"0.9%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SERGEANTD/A SUPERVISOR DETECTIVE SQUAD",NA,NA,NA,NA,121804.124235619,122010.646470763,119870.295623262,"0.9%",NA,NA,NA,NA,122991.624252403,123245.625472712,121138.394924813,"0.9%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPECIAL ASSISTANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108721.295935699,114065.83319273,105247.529676623,"4.0%",103631.426296112,106204.126658303,101955.602223761,"2.0%",103564.744720336,105540.897929594,102545.716893707,"1.4%",106661.419811321,107127.756980608,106434.726880862,"0.3%"
"SPECIAL OFFICER",41388.8148154457,41574.0115644206,41127.293288982,"0.5%",40632.0576425811,40994.2300487362,40144.9301688103,"1.0%",40453.7512393919,40504.8215967627,40381.2816282421,"0.2%",40750.9634064105,40829.3500773478,40650.6162793605,"0.2%",40338.4814258525,40564.9009732702,40053.3155089731,"0.6%",40327.4158245316,40825.1623796379,39689.4364468045,"1.4%",43886.4811320755,44174.6063337651,43508.9949845002,"0.8%"
"STAFF ANALYST",64365.288065318,63574.0535813853,64840.384906493,"-1.0%",64584.6635221253,63905.9393631856,64936.1503990814,"-0.8%",68891.5416095067,68429.2710786081,69130.7577978941,"-0.5%",69187.5459305737,67654.313600147,69949.3507957692,"-1.7%",66545.9920881282,64801.3080384444,67565.2577407842,"-2.1%",65578.226815358,64194.685380558,66387.112184394,"-1.7%",64547.5619047619,63923.8379557589,64961.99167941,"-0.8%"
"STAFF NURSE",62746.665080377,63018.4510648861,62729.9117681195,"0.2%",66764.5116719381,66959.0020314252,66753.5075325832,"0.2%",68365.5296396254,67891.7517364624,68395.4358321017,"-0.4%",70240.0799054908,69858.9117068853,70265.5823961157,"-0.3%",71465.82646958,70739.0534605158,71511.254014384,"-0.5%",71983.545286189,71097.6613691318,72040.9966497519,"-0.7%",73228.8461538462,72485.1245811954,73272.3230053636,"-0.5%"
"SUBSTANCE ABUSE PREVENTION & INTERVENTION SPECIALIST",58509.1307062057,57952.0394564279,58739.571626272,"-0.7%",61067.8102511317,60375.8221187745,61339.3011089386,"-0.8%",60601.8518027215,60368.0907094254,60696.369644158,"-0.3%",62055.8898890461,61839.5366134435,62146.2638487492,"-0.2%",60870.1876425295,60758.6421942236,60912.1712814309,"-0.1%",61869.2082448174,61367.3679430628,62064.4983873169,"-0.6%",63650.7533039648,62844.6428877686,63992.6648486254,"-0.9%"
"SUPERVISING EMERGENCY MEDICAL SERVICE SPECIALIST",68980.5742426321,69276.9868434037,67906.9524841656,"1.0%",69148.1964190463,69415.0381027628,68189.4211992948,"0.9%",68789.1453861608,68811.2436454656,68707.7731227447,"0.1%",72330.2602176251,72343.3381047081,72285.9288598486,"0.0%",73666.4893042146,73940.0730404097,72812.9194822433,"0.8%",72652.5113771208,72484.9972331645,73144.9004998123,"-0.5%",72781.7942973523,72620.0704634166,73261.6005426542,"-0.4%"
"SUPERVISING SPECIAL OFFICER",NA,NA,NA,NA,NA,NA,NA,NA,56477.8835743897,57174.4724264312,55302.5399168821,"1.7%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUPERVISOR",92070.6729226892,91184.1462709859,101761.244255395,"-5.5%",93237.4386712071,92505.1248642848,101619.660592032,"-4.7%",91979.181445629,91203.1669768542,101488.705296682,"-5.3%",92460.2946718635,91460.8592412723,104417.829702187,"-6.6%",92454.6964170518,91330.7609748293,105204.063213248,"-7.1%",94371.6623600746,93076.5618621591,108830.824723945,"-7.8%",95927.6034201954,94372.1689769696,111915.168898923,"-8.5%"
"SUPERVISOR I",54212.4921459915,53961.7376993059,54321.7947321051,"-0.3%",56560.2892981084,56364.0261150487,56655.2653070053,"-0.3%",57344.753574032,57089.972548421,57458.5386358293,"-0.3%",58167.4703400065,57844.4658277844,58303.2269876868,"-0.4%",56530.4720445249,56194.4617554661,56662.0841072426,"-0.4%",57921.4915328407,57606.4884581719,58050.7000954674,"-0.4%",59264.3948220065,58997.6590099842,59369.8266771224,"-0.3%"
"TEACHER",81777.0723106718,81377.7759425027,81928.205322354,"-0.3%",86143.6710888283,85647.230434852,86331.5469903823,"-0.4%",88010.24793919,87580.4340861692,88171.1792019631,"-0.3%",90339.3290654108,89863.1470259645,90517.935638411,"-0.4%",92388.6930550801,91737.5628054158,92634.2544085298,"-0.5%",93378.7217586805,92641.4868823335,93659.6524172946,"-0.5%",95865.3641831882,94871.9548857388,96245.3468286343,"-0.7%"
"TEACHER ASSIGNED A",92096.0240998007,91654.8341958594,92225.3847258575,"-0.3%",98554.5137843746,99340.9895902566,98373.6469946769,"0.5%",100608.282286251,102234.359820761,100342.863792869,"0.9%",100997.99870479,101772.354740498,100875.600497935,"0.4%",100972.296403081,99018.1683734556,101231.141601099,"-1.1%",101968.745216419,97775.2437069561,102457.039792611,"-2.3%",104738.329113924,101808.148700868,105068.47636587,"-1.6%"
"TEACHER ATTENDANCE",85247.5431906179,89006.6133408891,82478.400503314,"3.8%",90330.7498250675,93328.7828732826,88079.1532443838,"2.9%",92512.0726174132,95042.8142930623,90622.344801839,"2.4%",95139.9224230837,98794.8009029703,92649.3497438745,"3.2%",98026.3030709035,101568.194657605,95689.9914241211,"3.0%",97952.7981700053,101251.590962179,95804.0787625042,"2.8%",100472.755033557,102588.940500857,99104.6201638952,"1.7%"
"TEACHER SPECIAL EDUCATION",75458.778640637,75805.2247618174,75377.8606801814,"0.3%",79264.6224095273,79589.5669919514,79189.9095123458,"0.3%",81547.5384778645,81947.0396502319,81457.1942348254,"0.3%",84545.632163141,84595.6152376165,84534.4952569916,"0.0%",86450.2155582569,86166.1545519821,86512.843045542,"-0.2%",87257.7520906265,86376.3741494541,87452.9301940703,"-0.6%",88860.1751008434,87766.8159343424,89100.1558999863,"-0.8%"
"TEACHER SPECIAL EDUCATION-REG SUB",NA,NA,NA,NA,NA,NA,NA,NA,58097.9882571486,57527.6378606471,58266.5228790514,"-0.6%",59115.4467273546,58802.7219442984,59272.4552377414,"-0.4%",60380.197386964,60260.0860118552,60431.0507709381,"-0.1%",60509.7551303759,60097.9100902815,60690.9970053656,"-0.5%",61721.603286385,61333.1658915151,61904.2679381713,"-0.5%"
"TEACHER-REG SUB",NA,NA,NA,NA,69243.2911797803,87700.7900047216,58923.7313712011,"19.6%",66945.2154628401,78641.1761981611,60126.9684435127,"13.3%",66076.8322576166,78011.635994158,60641.6522334907,"12.5%",67231.1567299954,78284.37505298,62076.5090826644,"11.5%",67375.0926088784,74977.5695903121,62472.2111726648,"9.1%",72809.9260869565,84491.3465704213,64119.3440161598,"13.7%"
"TRAFFIC DEVICE MAINTAINER",56508.6469120319,56483.9024521431,57640.422104049,"-1.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRAFFIC ENFORC AGENT",45504.713478986,45462.509732898,45589.1987162952,"-0.1%",45423.4443577625,45420.3214590322,45429.2885137658,"0.0%",48121.5473441775,48119.8822740063,48124.6094164651,"0.0%",48049.2031072002,48064.0481147191,48020.4726595518,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRAFFIC ENFORC AGENT-L 3 & 4 ONLY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46605.0397437694,46580.4836485761,46649.5948564132,"-0.1%",45864.1953279509,45807.7811736593,45976.698809007,"-0.2%",NA,NA,NA,NA
"TRAFFIC ENFORCEMENT AGENT",36560.9916737267,36323.2835077396,36842.1457127562,"-0.7%",36488.2715058253,36281.0842017554,36735.5766742761,"-0.6%",39415.9767108113,39217.0912161356,39649.0969586275,"-0.5%",39539.7882429274,39265.0556946559,39888.4261005449,"-0.8%",NA,NA,NA,NA,NA,NA,NA,NA,43705.7659685864,43645.984979418,43791.8512808081,"-0.2%"
"TRAFFIC ENFORCEMENT AGENT AL 1 & 2 ONLY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40434.2065892257,40353.2704921521,40540.8671737649,"-0.2%",40681.9494260131,40595.4913266545,40796.3620525462,"-0.2%",NA,NA,NA,NA
"URBAN PARK RANGER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50639.0468085106,50638.6154214398,50639.8266969487,"0.0%"
"WATERSHED MAINTAINER",51344.2486965667,51347.0446008644,51238.2574492985,"0.1%",53446.0499393013,53381.9177908204,56340.6783543284,"-2.7%",53799.5402684718,53804.5347107117,53613.9367265708,"0.2%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YOUTH DEVELOPMENT SPECIALIST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48513.1238964714,47384.7339639606,51184.6249805618,"-3.9%",50701.2471910112,49320.3370319706,53989.9720191055,"-4.5%"
